local_ts,epoch_sec,sec_from_open,ticker,instrument_symbol,strike,yes_bid,yes_ask,yes_bid_size,yes_ask_size,yes_bid_usd,yes_ask_usd,no_ask_implied,no_bid_implied,no_ask_usd_buyable,no_ask_usd_total,last_trade_price,open_time,close_time,status
2026-05-05 20:10:55.778,1778011855,655,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.8500,0.8700,116.0000,3846.0000,1225.8800,3612.0200,0.1500,0.1300,17.4000,322.1200,0.64,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:10:57.133,1778011857,656,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.8500,0.8700,116.0000,3846.0000,1237.6000,3615.0200,0.1500,0.1300,17.4000,303.4000,0.64,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:10:58.515,1778011858,658,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.8500,0.8700,116.0000,3846.0000,1237.6000,3615.0200,0.1500,0.1300,17.4000,303.4000,0.64,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:11:00.006,1778011860,659,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.8500,0.8700,116.0000,3846.0000,1237.3700,3614.0200,0.1500,0.1300,17.4000,295.6300,0.64,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:11:01.439,1778011861,660,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.8500,0.9100,116.0000,5555.0000,1758.0600,5333.0500,0.1500,0.0900,17.4000,354.9400,0.64,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:11:02.857,1778011862,662,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.8500,0.9100,116.0000,5555.0000,1258.4000,5333.0500,0.1500,0.0900,17.4000,252.6000,0.64,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:11:04.353,1778011864,663,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.8500,0.9100,116.0000,5555.0000,1258.4000,5333.0500,0.1500,0.0900,17.4000,252.6000,0.64,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:11:05.798,1778011865,665,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.8500,0.9100,116.0000,5555.0000,1260.4000,5333.0500,0.1500,0.0900,17.4000,250.6000,0.64,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:11:07.173,1778011867,666,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.8500,0.9100,116.0000,5655.0000,1255.4000,5330.0500,0.1500,0.0900,17.4000,255.6000,0.64,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:11:08.608,1778011868,668,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.8600,0.9200,581.0000,6250.0000,1268.2600,12673.0600,0.1400,0.0800,81.3400,228.7400,0.64,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
